00:50:C2:08:C0/36,IPUnity     ,IP Unity
00:50:C2:08:D0/36,KylinkCommun,Kylink Communications Corp.
00:50:C2:08:E0/36,Bsquare     ,Bsquare
00:50:C2:08:F0/36,GeneralIndus,General Industries Argentina
00:50:C2:09:00/36,InvensysCont,Invensys Controls Network Systems
00:50:C2:09:10/36,StorLogic   ,"StorLogic, Inc."
00:50:C2:09:20/36,DigitAllWorl,"DigitAll World Co., Ltd"
00:50:C2:09:30/36,Korealink   ,Korealink
00:50:C2:09:40/36,AnalyticalSp,"Analytical Spectral Devices, Inc."
00:50:C2:09:50/36,Seatech     ,Seatech
00:50:C2:09:60/36,UtronixElekt,Utronix Elektronikutreckling AB
00:50:C2:09:70/36,IMVInvertoma,IMV Invertomatic
00:50:C2:09:80/36,EPELIndustri,"EPEL Industrial, S.A."
00:50:C2:09:90/36,CaseInformat,Case Information & Communications
00:50:C2:09:A0/36,NBODevelopme,NBO Development Center Sekusui Chemical Co. Ltd.
00:50:C2:09:B0/36,SeffleInstru,Seffle Instrument AB
00:50:C2:09:C0/36,RFApplicatio,"RF Applications, Inc."
00:50:C2:09:D0/36,Zelpos      ,Zelpos
00:50:C2:09:E0/36,InfinitecNet,"Infinitec Networks, Inc."
00:50:C2:09:F0/36,MetaWaveVede,MetaWave Vedeo Systems
00:50:C2:0A:00/36,Cynaps      ,Cynaps
00:50:C2:0A:10/36,VisableGenet,"Visable Genetics, Inc."
00:50:C2:0A:20/36,JägerCompute,Jäger Computergesteuerte Meßtechnik GmbH.
00:50:C2:0A:30/36,BaSyTec     ,BaSyTec GmbH
00:50:C2:0A:40/36,Bounty      ,Bounty Systems Pty Ltd.
00:50:C2:0A:50/36,MobiltexData,Mobiltex Data Ltd.
00:50:C2:0A:60/36,Arula       ,"Arula Systems, Inc."
00:50:C2:0A:70/36,WaterCoveNet,WaterCove Networks
00:50:C2:0A:80/36,KaveriNetwor,Kaveri Networks
00:50:C2:0A:90/36,RadiantNetwo,Radiant Networks Plc
00:50:C2:0A:A0/36,LogIn       ,"Log-In, Inc."
00:50:C2:0A:B0/36,FastwareNet ,"Fastware.Net, LLC"
00:50:C2:0A:C0/36,HoneywellGNO,Honeywell GNO
00:50:C2:0A:D0/36,BMCMesssyste,BMC Messsysteme GmbH
00:50:C2:0A:E0/36,Zarak       ,Zarak Systems Corp.
00:50:C2:0A:F0/36,LatusLightwo,"Latus Lightworks, Inc."
00:50:C2:0B:00/36,LMITechnolog,LMI Technologies
00:50:C2:0B:10/36,BeelineNetwo,"Beeline Networks, Inc."
00:50:C2:0B:20/36,RFMicroDevic,R F Micro Devices
00:50:C2:0B:30/36,SMX         ,SMX Corporation
00:50:C2:0B:40/36,Wavefly     ,Wavefly Corporation
00:50:C2:0B:50/36,ExtremeCoppe,"Extreme Copper, Inc."
00:50:C2:0B:60/36,ApSecureTech,"ApSecure Technologies (Canada), Inc."
00:50:C2:0B:70/36,Rymic       ,Rymic
00:50:C2:0B:80/36,LANControls ,"LAN Controls, Inc."
00:50:C2:0B:90/36,HelmutMauell,Helmut Mauell GmbH Werk Weida
00:50:C2:0B:A0/36,ProActive   ,Pro-Active
00:50:C2:0B:B0/36,MAZet       ,MAZet GmbH
00:50:C2:0B:C0/36,InfolinkSoft,Infolink Software AG
00:50:C2:0B:D0/36,Tattile     ,Tattile
00:50:C2:0B:E0/36,StellaElectr,Stella Electronics & Tagging
00:50:C2:0B:F0/36,Private     ,Private
00:50:C2:0C:00/36,Imigix      ,Imigix Ltd.
00:50:C2:0C:10/36,Casabyte    ,Casabyte
00:50:C2:0C:20/36,AlchemySemic,"Alchemy Semiconductor, Inc."
00:50:C2:0C:30/36,Tonbu       ,"Tonbu, Inc."
00:50:C2:0C:40/36,InterEpochTe,"InterEpoch Technology,INC."
00:50:C2:0C:50/36,SAIABurgessC,SAIA Burgess Controls AG
00:50:C2:0C:60/36,AdvancedMedi,"Advanced Medical Information Technologies, Inc."
00:50:C2:0C:70/36,TransCommTec,"TransComm Technology System, Inc."
00:50:C2:0C:80/36,Trane       ,The Trane Company
00:50:C2:0C:90/36,DSSNetworks ,"DSS Networks, Inc."
00:50:C2:0C:A0/36,JDRichards  ,J D Richards
00:50:C2:0C:B0/36,Studiel     ,Studiel
00:50:C2:0C:C0/36,AlphaMedia  ,"AlphaMedia Co., Ltd"
00:50:C2:0C:D0/36,Linet       ,Linet Oy
00:50:C2:0C:E0/36,RFLElectroni,"RFL Electronics, Inc."
00:50:C2:0C:F0/36,Pcsc        ,Pcsc
00:50:C2:0D:00/36,Telefrang   ,Telefrang AB
00:50:C2:0D:10/36,RenaissanceN,"Renaissance Networking, Inc."
00:50:C2:0D:20/36,RealWorldCom,Real World Computing Partnership
00:50:C2:0D:30/36,LakeTechnolo,"Lake Technology, Ltd."
00:50:C2:0D:40/36,Palm        ,"Palm, Inc."
00:50:C2:0D:50/36,Zelax       ,Zelax
00:50:C2:0D:60/36,IncoStartec ,Inco Startec GmbH
00:50:C2:0D:70/36,SummitAvioni,"Summit Avionics, Inc."
00:50:C2:0D:80/36,CharlottesWe,Charlotte's Web Networks
